"id","title","tnff_year","location","category","release_date","duration_mins","language","director","producer","synopsis","director_bio","film_img_url","director_img_url","other_info"
5,"Maila Dai","2018","Nepal","Documentary","2017",6,"Nepali with English Subtitles","Rajeela Shrestha","Onion Films","Maila Dai is a documentary about Maila Lama, who is considered a hero. This documentary is about the experience, struggle and contribution of Maila Lama who not only recovered his business but also helped rebuild the village of Thangpalkot, Sindhupalchowk after the massive earthquake that hit Nepal in April 2015.","Rajeela Shrestha was born in Kathmandu in 1996. Ms. Shrestha is a freelance filmmaker and a writer. She is actively involved in film making since 2014 and has completed her bachelor’s degree in film, script writing and direction. She believes that visual storytelling is the powerful medium to make people understand the complexities of the world a bit better.","https://tnff-static.tnff.ca/tnff-2018/maila-dai/maila-dai.jpg","https://tnff-static.tnff.ca/tnff-2018/maila-dai/rajeela-shrestha.jpg","Previous Screenings and Awards: Ekadeshma International Short Film Festival 2017Pokhara International Mountain Film Festival 2017Private Screening at tourism board 2017"
8,"Gya","2018","Nepal","Short","2017",5,"Nepali with English Subtitles","Pratish Shrestha","Pratish Shrestha","This film depicts the journey of a modern man from chaos to meditative state and his search for meaning of his existence.","Pratish Shrestha is a film student from Nepal. He uses film to show the world in which he lives in. He enjoys exploring poetic and time narration in his films. This short “Gya” is his college project which has been selected at 6 international film festivals. This is a form of subjective and personal reflexive cinema.","https://tnff-static.tnff.ca/tnff-2018/gya/gya.jpg","https://tnff-static.tnff.ca/tnff-2018/gya/pratish-shrestha.jpg","Previous Screenings and Awards: Visionaria Santa Maria della Scala 2017- Italy  Mitreo Film Festival 2017  U Special International Campus Film Festival 2017"
4,"The Eldest Son","2018","Nepal","Documentary","2017",30,"Nepali with English Subtitles","Amy Benson","Scott Squire","The Eldest Son is a short documentary about Kumar Darnal, a young Nepali man who leaves his wife and two small children to become a migrant laborer in Malaysia with the dream of ending his family’s cycle of poverty. Will the risk pay off? The Eldest Son asks what is the emotional cost of migrant labor.","In 2005, Amy left her career as a middle school teacher to become a documentary filmmaker. Her first feature documentary, Drawing the Tiger, is a granted project of the Sundance Institute. It premiered at Hot Docs in April 2015 and has since screened in over 50 film festivals worldwide and won numerous awards. The Eldest Son is her second film in an anthology about the Darnal family.","https://tnff-static.tnff.ca/tnff-2018/the-eldest-son/eldest-son.png","https://tnff-static.tnff.ca/tnff-2018/the-eldest-son/amy-benson.jpg","Previous Screenings and Awards: Kathmandu International Mountain Film Festival 2017  A rough cut was shown at the Seattle South Asian Film Festival also in 2017"
6,"Lachhamaniya","2018","Nepal","Short","2017",16,"Aawadhi with English Subtitles","Bikas Neupane","Govinda Prasad Khanal","This short depicts the practice of arranged marriage in Nepal. It shows the story of a vivacious young woman who is about to get married with a man that she has never met.","Bikas Neupane is a self-taught filmmaker based in Nepalgunj, Nepal. He began his artistic career as a theater actor before working as an assistant director and actor in feature films. His work is based on the social issues faced by the marginal communities of western Nepal.","https://tnff-static.tnff.ca/tnff-2018/lachhamaniya/lachhamaniya.jpg","https://tnff-static.tnff.ca/tnff-2018/lachhamaniya/bikas-neupane.jpg","Previous Screenings and Awards: 15th Kathmandu International Mountain Film Festival (Dec 2017)  5th Ekadeshma International Short film Festival (Nov 2017) - Audience Choice Award"
17,"Sankalpa","2017","Nepal","Short","2015",18,"Nepali with English Subtitles","Santosh Dahal","Santosh Dahal","A 40-year-old man faces the dilemma of whether or not to re-marry after his wife's death. ","Born in 1990 AD and graduate of physics, Santosh Dahal quit science in 2011 to join Oscar College to study film. He assisted the director in the feature film 'Dying candle' (2014), which was nominated in Queens World Film Festival in Best Picture, Best Actor and Best Cinematography, and won best Cinematography.","https://tnff-static.tnff.ca/tnff-2017/sankalpa/sankalpa-2.jpg",,"Previous screenings: Singapore International Film Festival, Nov 26, 2016 Ekadeshma Internaational Film Festival, Nov 13, 2016"
15,"Bhus Ko Logne (Maya's Husk Husband) ","2017","Nepal","Docudrama","2015",38,"Nepali with English Subtitles","Jyoti Kesha Simha Thakuri","Jyotsana Creation Media","This docudrama captures the heart-wrenching struggle of a married woman, Maya. After suffering through a number of miscarriages, two of her children survive past infancy. Maya’s life starts positively, progressing with her husband and family, but a sudden change in her health brings back a series...","Jyoti has received training in camera editing, TV production and various different fields of media from  BBC, the Hostile environment course, Save the Children and Himalaya films. Internationally, he has worked with BBC’s Daniel Lak , Charlie Havilland. He has also worked for BBC world, APTN, Aajtak, India Headline Today, Al Jazeera.","https://tnff-static.tnff.ca/tnff-2017/mayas-husk-husband/mayas-husk-husband.png",,"Previous Screenings and Awards: Selected in KIMFF 2016"
18,"Dadyaa - The Woodpeckers of Rotha","2017","Nepal","Short","2016",16,"Khas with English Subtitles","Pooja Gurung and Bibhusan Basnet","Marie Legrand and Rani Massalha (Les Films Du Tambour) & Prajjwal SJB Rana (Eyecore Films)","This compelling short film captures the ongoing dilemma faced by an elderly couple. Atimaley and Devi’s village is haunted by memories. When a dear friend leaves the village without saying “goodbye,” the couple has to decide whether to keep living  through memories or to leave the village for good. ","Pooja Gurung and Bibhusan Basnet have been working together for six years. Their first short film ‘The Contagious Apparitions of Dambarey Dendrite’ was screened in international film festivals including Abu Dhabi, Tampere, Locarno and Kurzfilmtage Winterthur. ‘Dadyaa – The Woodpeckers of Rotha’ is their second short film. The Duo is working on their first-feature film ‘The Whole Timers,’ selected at the Cinefondation L’Atelier of the Cannes Film Festival in 2016. ","https://tnff-static.tnff.ca/tnff-2017/dadyaa/dadyaa.png",,"Previous Screenings and Awards: 73rd Venice International Film Festival, 2016 Toronto International Film Festival, 2016 Busan International Film Festival, 2016 Internationale Kurzfilmtage Winterthur South Western International Film Festival Ekadeshma Festival De Contemporary Cinema, 2016 Kathmandu International Mountain Film Festival, 2016"
10,"Nirvana","2018","United States","Short","2017",3,"No dialogues","Anup Giri","Kelly Pvt. Ltd","This short explores the topic of Nirvana, finding inner peace, which equals to the ultimate form of happiness. This short depicts the message of search for happiness within you and not in materialist objects.","Anup Giri is the director, editor and the writer of this movie Nirvana. He is a freelance movie maker, video director and editor. He has been working in this field for the last decade.","https://tnff-static.tnff.ca/tnff-2018/nirvana/nirvana.jpg","https://tnff-static.tnff.ca/tnff-2018/nirvana/anup-giri.jpg",
13,"Invincible Swayambhu","2018","Nepal","Documentary","2017",7,"Nepali with English Subtitles","Baburam Raut","World Bank Nepal and Onion Films Nepal","In this documentary, a priest and heritage expert discusses the vulnerable situation and future of the Swayambhu Temple after being impacted by the earthquake in 2015.","Baburam Raut is a student studying filmmaking in Kantipur Film Academy.","https://tnff-static.tnff.ca/tnff-2018/invincible-swayambhu/invincible-swayambhu.png",,"Previous Screenings and Awards: Selected in the Fifth International Festival of Short Films on Culture & Tourism (IFFC-V)"
62,"Dasdhunga","2013","Nepal","Fiction","2010",136,"Nepali with English Subtitles","Manoj Pandit","Kiran Paudyal","This innovative fiction film is based on the mysterious and controversial car accident of the charismatic political leader Madan Bhandari in Dashdunga in 1993. What starts as a film about the Dashdungha incident quickly develops into many surprising twists and turns. Kiran who is the key investigator of the case finds himself deeply entangled in the mystery. ","Manoj Pandit is a filmmaker based in Kathmandu and his new film Bhadshala is set to release soon.      Kiran Poudyal is a journalist and a filmmaker. He is the associate director and co-producer of documentary 13,246; producer of documentary Highway Blues – Bato Bandda Cha; creative and casting director of short Democracy = Right to Eat; chief assistant director of Koseli Paradeshko; and co-producer and assistant director of Goodbye Kathmandu. ","https://tnff-static.tnff.ca/tnff-2013/dushdunga/Dasdhungaa.jpg",,"Previous Screening and Awards:   Released in 48 movie theatres in Kathmandu valley, 2010   Screenings in selected movie theatres outside of Kathmandu valley:   Beni Cinema Home, Myagdi   Waling Cinema Home & Syangja Cinema Home, Syangja   Satyasai Cinema Home, Dang   Tansen Cinema Home, Palpa   Damauli Cinema Home, Tanahu   Milan Cinema Home, Rupandehi   Damak Cinema Home, Jhapa "
67,"Yomari Ya Bankhan ","2013","Nepal","Documentary","2011",9,"Nepal Bhasa with English Subtitles","Alok Tuladhar and Rajni Shrestha","Suneeta Tuladhar","This documentary is about Yomari, a unique delicacy of the Newars who are indigenous to Kathmandu Valley. Prepared on joyous occasions and festivals, the film highlights the religious and symbolic significance of the delicacy.   Rajni Shrestha has a Master’s degree in English literature and also two decades of public relations career. She has also organized the Nepal Cine Symposium in Kathmandu. She admires the strength of Nepali women and explores ways to bring their stories to the world. ","Alok Tuladhar has worked as a photographer, videographer, writer and editor for two and half decades. He has trained under New York based Tina Arhens, photo editor of GEO Magazine. His documentary films and photo stories have been widely published in national dailies and local magazines.","https://tnff-static.tnff.ca/tnff-2013/yomari-ya-bankhan/Yomari.jpg",,"Previous Screening and Awards:   Nepal International Indigenous Film Festival, Kathmandu, 2012 "
92,"The Sari Soldiers","2010","USA","Documentary","2008",90,"Nepali and English with English Subtitles","Julie Bridgham",,"Filmed over three years during the most historic and pivotal time in Nepal’s modern history, The Sari Soldiers is an extraordinary story of six women’s courageous efforts to shape Nepal’s future in the midst of an escalating civil war against Maoist insurgents, and the King’s crackdown on civil liberties.","Julie Bridgham is a Sundance Institute Documentary Fellow, and the Director and Producer of the award-winning documentary, The Sari Soldiers, for which she received the 2008 Nestor Almendros Prize. Over the past six years, she has lived for extended periods in Nepal where she produced and directed numerous documentaries including several documentaries for the United Nations and the films Indentured Daughters, a documentary on Nepali girls sent into bonded labour, as well as the films Hope in the Himalayas and Children of Hope for the Nepalese Youth Opportunity Foundation. ","https://tnff-static.tnff.ca/tnff-2010/the-sari-soldiers/SariSoldier.jpg",,"Previous Screenings/Awards: •	Human Rights Watch Film Festival, NY, Nestor Almendros Prize  •	WATCH DOCS Human Rights in Film Int’l Film Festival, Feature Length Competition Special Mention  •	Rencontres International Film Festival, Camera as Activist Award, Best Socio-Political Film  •	Tri-Continental Film Festival, India, Grand Jury Prize  •	Brooklyn International Film Festival, Spirit Award  •	One World Film Festival, Prague, Special Jury Mention  •	Sausalito Film Festival, Best of Festival Award "
23,"Heaven is Black","2017","Nepal","Short","2015",4,"Nepali with English Subtitles","Raj Kumar Rai","Nimesh Shrestha, Amar Maharjan & Dikesh Khadgi Shahi","This is a chilling short film about three children’s perception of heaven. Among the boys, Buddhi decides to go heaven. The film captures the extensive efforts that show the naivety in taking life for granted.","Raj Kumar Rai is a filmmaker based in Kathmandu, Nepal. He received his Bachelors in Film Studies from Oscar International College. From the start of his college year, he has directed 5 short films. His short film 'Heaven is Black' was recognized with a 'Special Jury Mention' in Kathmandu International Mountain Film Festival ( KIMFF). ","https://tnff-static.tnff.ca/tnff-2017/heaven-is-black/heaving-is-black.png",,"Previous Screenings and Awards: Officially selected in Kathmandu International Mountain Film Festival ( KIMFF 2015) and bagged 'Special Jury Mention' in Short Fiction Category. "
22,"In Search of Devaki","2017","Nepal","Documentary","2016",41,"Nepali and Doteli with Subtitles","Devaki Bist","Devaki Bist,Janardan Adhikari, Madala online pvt ltd","This documentary exposes a tragic custom that prevails in far western Nepal, where, in the name of religion, young girls from impoverished families are offered in temples for prostitution.","Devaki Bist is a Journalist who has worked as a radio presenter, program producer, and radio technician. She has work experience in World space satellite from Australia, Communication corner and Equal access Nepal. She has also worked with news24 tv as a reporter and producer. Her specialization in Journalism are reporting on crime, human trafficking and violence on women and children. ","https://tnff-static.tnff.ca/tnff-2017/in-search-of-devaki/in-search-of-devaki.jpg","https://tnff-static.tnff.ca/tnff-2017/in-search-of-devaki/devaki-bist.jpg","Previous Screenings and Awards: Kathmandu International Mountain Film Festival (KIMFF) "
